flight_id,departure_time,arrival_time,departure_airport,arrival_airport,aircraft_code
182,2018-10-30 11:25:00+03,2018-10-30 12:20:00+03,DME,LED,321
1996,2018-10-24 08:30:00+03,2018-10-24 10:35:00+03,DME,JOK,CN1
5979,2018-10-24 11:10:00+03,2018-10-24 11:40:00+03,DME,BZK,SU9
8136,2018-10-26 09:15:00+03,2018-10-26 10:20:00+03,VKO,RTW,CR2
10455,2018-11-10 10:45:00+03,2018-11-10 14:10:00+03,SVO,OVB,773
11531,2018-10-14 15:15:00+03,2018-10-14 17:30:00+03,SVO,PES,CN1
13774,2018-10-23 13:30:00+03,2018-10-23 14:25:00+03,SVO,ULV,SU9
16088,2018-10-18 11:10:00+03,2018-10-18 12:05:00+03,LED,DME,321
16181,2018-10-26 09:20:00+03,2018-10-26 10:10:00+03,LED,VKO,321
19239,2018-11-02 16:45:00+03,2018-11-02 18:10:00+03,LED,CEE,CN1
24052,2018-11-03 10:40:00+03,2018-11-03 11:20:00+03,CEK,PEE,CR2
25136,2018-10-19 09:40:00+03,2018-10-19 10:45:00+03,KUF,DME,763
26125,2018-10-17 15:00:00+03,2018-10-17 15:30:00+03,ROV,VOG,SU9
26288,2018-10-17 09:00:00+03,2018-10-17 13:15:00+03,ROV,TOF,319
29190,2018-10-17 16:50:00+03,2018-10-17 17:15:00+03,PEE,SVX,SU9
29770,2018-11-10 06:15:00+03,2018-11-10 07:05:00+03,PEE,ULV,SU9
31850,2018-11-01 12:10:00+03,2018-11-01 15:35:00+03,TBW,LED,CN1
33837,2018-11-01 14:30:00+03,2018-11-01 15:50:00+03,SCW,DME,763
39069,2018-11-09 09:10:00+03,2018-11-09 10:20:00+03,MJZ,YKS,CR2
39557,2018-10-26 10:40:00+03,2018-10-26 17:20:00+03,CNN,LED,319
40967,2018-11-05 08:20:00+03,2018-11-05 10:00:00+03,GOJ,KLF,CN1
43789,2018-10-19 07:20:00+03,2018-10-19 10:05:00+03,HMA,VKO,CR2
44617,2018-10-26 12:10:00+03,2018-10-26 15:30:00+03,NYA,ROV,CR2
46615,2018-10-31 15:15:00+03,2018-10-31 17:55:00+03,VKT,SGC,CN1
46860,2018-10-29 10:35:00+03,2018-10-29 12:00:00+03,UUA,SVO,CR2
52165,2018-11-10 05:15:00+03,2018-11-10 06:05:00+03,KHV,BQS,SU9
58057,2018-11-11 14:55:00+03,2018-11-11 17:20:00+03,KGD,KRR,CR2
62214,2018-10-29 11:05:00+03,2018-10-29 13:50:00+03,EGO,AER,CN1
1,2018-08-10 08:35:00+03,2018-08-10 09:30:00+03,DME,LED,321
2,2018-10-25 18:05:00+03,2018-10-25 19:00:00+03,DME,LED,321
3,2018-10-25 10:25:00+03,2018-10-25 11:20:00+03,DME,LED,321
4,2018-10-25 11:25:00+03,2018-10-25 12:20:00+03,DME,LED,321
5,2018-11-02 08:35:00+03,2018-11-02 09:30:00+03,DME,LED,321
6,2018-11-02 18:05:00+03,2018-11-02 19:00:00+03,DME,LED,321
7,2018-08-03 11:25:00+03,2018-08-03 12:20:00+03,DME,LED,321
8,2018-08-03 10:25:00+03,2018-08-03 11:20:00+03,DME,LED,321
9,2018-08-03 18:05:00+03,2018-08-03 19:00:00+03,DME,LED,321
10,2018-08-03 08:35:00+03,2018-08-03 09:30:00+03,DME,LED,321
11,2018-11-02 10:25:00+03,2018-11-02 11:20:00+03,DME,LED,321
12,2018-08-18 11:25:00+03,2018-08-18 12:20:00+03,DME,LED,321
13,2018-11-02 11:25:00+03,2018-11-02 12:20:00+03,DME,LED,321
14,2018-08-18 10:25:00+03,2018-08-18 11:20:00+03,DME,LED,321
15,2018-08-18 18:05:00+03,2018-08-18 19:00:00+03,DME,LED,321
16,2018-08-18 08:35:00+03,2018-08-18 09:30:00+03,DME,LED,321
