city,total_population
Новосибирск,1473700.0
Нижний Новгород,1250600.0
Челябинск,1130300.0
Ростов-на-Дону,1089900.0
Уфа,1062300.0
Владивосток,592100.0
Ярославль,591500.0
Кемерово,532900.0
Астрахань,520700.00000000006
Пенза,517100.0
Тула,501100.0
Киров,473700.0
Брянск,415600.0
Курск,414600.0
Тверь,403700.0
Ставрополь,398300.0
Курган,333600.0
Орел,317900.0
Череповец,312300.0
Мурманск,307700.0
Якутск,269500.0
Братск,246300.0
Нижнекамск,234100.0
Благовещенск,214400.0
Прокопьевск,210200.0
Энгельс ,202400.0
Рыбинск,200800.0
Балаково,199600.0
Северодвинск,192300.0
Подольск,188000.0
Королев,183500.0
Южно-Сахалинск,181700.0
Петропавловск-Камчатский,179500.0
Златоуст,175000.0
Новочеркасск,169000.0
Абакан,165200.0
Салават,156100.0
Электросталь,155300.0
Миасс,151800.0
Рубцовск,147000.0
Альметьевск,146300.0
Пятигорск,142400.0
Черкесск,121400.0
Новомосковск,131200.0
Кисловодск,128500.0
Димитровград,122500.0
Нефтекамск,121800.0
Камышин,119900.0
Красногорск,116700.0
Новошахтинск,111100.0
Сергиев Посад,110900.0
Ноябрьск,110600.0
Щелково,110400.0
Северск,108500.0
Пушкино,102800.0
