children,dob_years,education,family_status,gender,income_type,debt,total_income,purpose,purpose_lemm
1,42,Высшее,Женат / замужем,F,Сотрудник,0,253875.6394525987,покупка жилья,Недвижимость
1,36,Среднее,Женат / замужем,F,Сотрудник,0,112080.01410244204,приобретение автомобиля,Автомобиль
0,33,Среднее,Женат / замужем,M,Сотрудник,0,145885.95229686378,покупка жилья,Недвижимость
3,32,Среднее,Женат / замужем,M,Сотрудник,0,267628.5503294142,дополнительное образование,Образование
0,53,Среднее,Гражданский брак,F,Пенсионер,0,158616.07787006293,сыграть свадьбу,Свадьба
0,27,Высшее,Гражданский брак,M,Компаньон,0,255763.56541904988,покупка жилья,Недвижимость
0,43,Высшее,Женат / замужем,F,Компаньон,0,240525.9719203061,операции с жильем,Недвижимость
0,50,Среднее,Женат / замужем,M,Сотрудник,0,135823.93419727974,образование,Образование
2,35,Высшее,Гражданский брак,F,Сотрудник,0,95856.83242386371,на проведение свадьбы,Свадьба
0,41,Среднее,Женат / замужем,M,Сотрудник,0,144425.93827708642,покупка жилья для семьи,Недвижимость
2,36,Высшее,Женат / замужем,M,Компаньон,0,113943.4914603043,покупка недвижимости,Недвижимость
0,40,Среднее,Женат / замужем,F,Сотрудник,0,77069.23427130934,покупка коммерческой недвижимости,Недвижимость
0,65,Среднее,Гражданский брак,M,Пенсионер,0,,сыграть свадьбу,Свадьба
0,54,Неоконченное высшее,Женат / замужем,F,Сотрудник,0,130458.22885695784,приобретение автомобиля,Автомобиль
0,56,Высшее,Гражданский брак,F,Компаньон,1,165127.9117721805,покупка жилой недвижимости,Недвижимость
1,26,Среднее,Женат / замужем,F,Сотрудник,0,116820.90444993383,строительство собственной недвижимости,Недвижимость
0,35,Среднее,Женат / замужем,F,Сотрудник,0,289202.7042292056,недвижимость,Недвижимость
0,33,Высшее,Гражданский брак,M,Сотрудник,0,90410.58674466488,строительство недвижимости,Недвижимость
0,53,Среднее,Вдовец / вдова,F,Пенсионер,0,56823.7772431838,на покупку подержанного автомобиля,Автомобиль
0,48,Среднее,В разводе,F,Сотрудник,0,242831.107981772,на покупку своего автомобиля,Автомобиль
1,36,Среднее,Женат / замужем,M,Сотрудник,0,209552.64457761557,недвижимость,Недвижимость
1,33,Среднее,Гражданский брак,F,Сотрудник,0,131812.20390893804,приобретение автомобиля,Автомобиль
1,24,Среднее,Гражданский брак,F,Сотрудник,0,149681.1407311689,на покупку подержанного автомобиля,Автомобиль
0,21,Высшее,Гражданский брак,M,Сотрудник,0,128265.72087100228,сыграть свадьбу,Свадьба
1,57,Среднее,Не женат / не замужем,F,Пенсионер,0,290547.2359974949,операции с коммерческой недвижимостью,Недвижимость
0,67,Среднее,Женат / замужем,M,Пенсионер,0,55112.757731719255,покупка недвижимости,Недвижимость
0,41,Среднее,Женат / замужем,M,Госслужащий,0,,образование,Образование
0,28,Высшее,Женат / замужем,M,Сотрудник,0,308848.9836905699,строительство собственной недвижимости,Недвижимость
1,26,Высшее,Женат / замужем,F,Сотрудник,0,187863.2373059588,строительство собственной недвижимости,Недвижимость
0,63,Среднее,Не женат / не замужем,F,Пенсионер,0,,строительство жилой недвижимости,Недвижимость
1,62,Среднее,Женат / замужем,F,Пенсионер,0,171456.06799338743,операции с коммерческой недвижимостью,Недвижимость
0,47,Начальное,Женат / замужем,F,Сотрудник,0,275485.684538057,жилье,Недвижимость
0,34,Среднее,Гражданский брак,F,Сотрудник,1,139057.46420747985,на проведение свадьбы,Свадьба
0,48,Среднее,Женат / замужем,F,Компаньон,0,157245.78623254097,покупка жилья,Недвижимость
0,35,Среднее,Женат / замужем,F,Сотрудник,0,104660.44920263148,операции со своей недвижимостью,Недвижимость
0,68,Среднее,Гражданский брак,M,Пенсионер,0,77805.67743642293,на проведение свадьбы,Свадьба
0,33,Среднее,Не женат / не замужем,M,Сотрудник,0,138830.65073407194,автомобили,Автомобиль
0,43,Высшее,Гражданский брак,F,Компаньон,0,154128.87867164516,приобретение автомобиля,Автомобиль
0,25,Высшее,Не женат / не замужем,M,Сотрудник,1,192247.29863931693,образование,Образование
0,31,Высшее,Гражданский брак,F,Компаньон,0,754240.7972479195,заняться образованием,Образование
0,30,Среднее,Не женат / не замужем,M,Компаньон,0,142865.57914588266,покупка недвижимости,Недвижимость
0,50,Среднее,Женат / замужем,F,Госслужащий,0,,сделка с подержанным автомобилем,Автомобиль
0,20,Неоконченное высшее,Не женат / не замужем,F,Сотрудник,0,82065.08902109257,получение образования,Образование
0,43,Неоконченное высшее,В разводе,F,Компаньон,0,272957.1335085173,приобретение автомобиля,Автомобиль
1,26,Среднее,Женат / замужем,F,Сотрудник,0,100780.496748708,на покупку своего автомобиля,Автомобиль
1,49,Среднее,Не женат / не замужем,F,Сотрудник,0,106385.91972360344,заняться образованием,Образование
2,37,Среднее,Женат / замужем,F,Компаньон,0,182682.4598984296,сделка с подержанным автомобилем,Автомобиль
1,33,Высшее,Гражданский брак,M,Госслужащий,0,356277.90934547666,на проведение свадьбы,Свадьба
0,45,Среднее,Женат / замужем,F,Сотрудник,0,162065.5164499865,строительство собственной недвижимости,Недвижимость
0,54,Среднее,Женат / замужем,F,Сотрудник,0,44591.80688753629,автомобиль,Автомобиль
0,63,Среднее,Женат / замужем,F,Пенсионер,0,92342.73061169684,автомобили,Автомобиль
1,50,Высшее,Гражданский брак,F,Сотрудник,0,203199.6835687721,свадьба,Свадьба
1,28,Среднее,Женат / замужем,F,Сотрудник,0,52746.4223236867,получение дополнительного образования,Образование
0,61,Среднее,В разводе,F,Компаньон,0,311453.5995296128,покупка своего жилья,Недвижимость
0,27,Высшее,Гражданский брак,F,Сотрудник,0,92238.81311104933,автомобили,Автомобиль
0,54,Среднее,Гражданский брак,F,Пенсионер,1,,сыграть свадьбу,Свадьба
0,64,Среднее,Вдовец / вдова,F,Пенсионер,0,149141.04353267475,образование,Образование
0,44,Среднее,Вдовец / вдова,F,Сотрудник,0,58616.40596004223,образование,Образование
0,36,Высшее,Женат / замужем,M,Сотрудник,0,414404.2028972774,недвижимость,Недвижимость
0,53,Среднее,Гражданский брак,F,Компаньон,0,261369.5064850721,операции с недвижимостью,Недвижимость
1,48,Среднее,Женат / замужем,M,Сотрудник,0,129902.28373544553,заняться образованием,Образование
0,42,Среднее,Гражданский брак,F,Сотрудник,0,173987.4729290881,покупка недвижимости,Недвижимость
0,48,Высшее,Не женат / не замужем,M,Госслужащий,0,435388.1952724901,получение высшего образования,Образование
0,45,Среднее,Женат / замужем,F,Сотрудник,0,110004.35982164997,операции с жильем,Недвижимость
0,35,Неоконченное высшее,Не женат / не замужем,M,Сотрудник,0,282900.4713076374,сделка с подержанным автомобилем,Автомобиль
